,"US3YT=RR,Bid Yield, ","US3YT=RR,Volatility,1 个月","US3YT=RR,Volatility,2 个月","US3YT=RR,Volatility,3 个月","US3YT=RR,Volatility,6 个月","US3YT=RR,Volatility,1 年","US3YT=RR,Volatility,23 天数"
2019/10/9,1.375,56.2530467733897,57.6359242098947,55.5130127018326,46.6722489002474,36.6396346686838,56.2530467733897
2019/10/8,1.372,56.2372115859786,58.0509546435531,55.7444252177107,46.6691964192692,36.6390505287752,56.2372115859786
2019/10/7,1.413,62.4995871493102,58.2314822498212,55.6484879929513,46.5366803803571,36.5447674823821,62.4995871493102
2019/10/4,1.348,60.8565583961236,57.0284664044957,54.6948940547241,46.0366385464096,36.2131962674659,60.8565583961236
2019/10/3,1.343,61.84611815152,60.294487811886,56.4869059530424,46.0303444823639,36.22032656216,61.84611815152
2019/10/2,1.435,58.0933683861562,58.3866555252443,55.0646486520767,45.4056424645825,35.6931541490883,58.0933683861562
2019/10/1,1.503,56.317074886991,61.9729945881232,54.4585986989155,45.1408550643117,35.4322441127587,56.317074886991
2019/9/30,1.565,54.6949928421335,61.5713252226787,54.2090813518347,44.8887708340815,35.2523199074108,54.6949928421335
2019/9/27,1.562,55.2746347499597,61.5760517530033,54.2093969895393,44.943454697588,35.2514310377252,55.2746347499597
2019/9/26,1.587,55.0748743874492,61.5466994786796,54.3451653581189,44.9070904622468,35.2266921681757,55.0748743874492
2019/9/25,1.619,57.6771433729226,61.4475505646324,54.9115468981408,45.0421857269176,35.2201323545655,57.6771433729226
2019/9/24,1.532,55.1601134618939,59.9532245831263,53.7622692393598,44.592765592312,34.7640070252134,55.1601134618939
2019/9/23,1.6,53.7820326600207,59.1375393536715,53.3788069671647,44.2462939713371,34.6414762014012,53.7820326600207
2019/9/20,1.648,53.2838433856852,58.8912269613921,53.5360612400054,44.3216947179072,34.5385514053868,53.2838433856852
2019/9/19,1.68,53.6119536918013,58.7331166165839,53.493516613301,44.2775265180595,34.4962002578451,53.6119536918013
2019/9/18,1.683,53.9605933720287,58.9004363586218,54.4888426858983,44.293723942356,34.5238744910299,53.9605933720287
2019/9/17,1.686,56.9296501085505,59.3812708742821,54.4897399264729,44.3050662439755,34.5301595025688,56.9296501085505
2019/9/16,1.723,59.6260559465294,59.353066455955,54.3401895055399,44.2350855495556,34.4812171532311,59.6260559465294
2019/9/13,1.761,61.989949900174,59.31197841977,54.2469952544362,44.1521899200128,34.4324020724636,61.989949900174
2019/9/12,1.672,61.9146246374943,57.8660246727539,53.5755512677899,43.5234900657859,34.0376148493758,61.9146246374943
2019/9/11,1.61,60.948638706257,57.0402616673535,53.1574714424537,43.1709535022666,33.8232316881848,60.948638706257
2019/9/10,1.607,61.4832872334793,57.2849410277025,53.1528474458563,43.165192613589,33.8310644832147,61.4832872334793
2019/9/9,1.516,59.588705436595,55.6344243527249,52.1302676395121,42.387797163845,33.3081957469263,59.588705436595
2019/9/6,1.464,58.4260479977155,54.9824866097154,51.6260822033698,42.0443395173941,33.1071716956177,58.4260479977155
2019/9/5,1.473,64.4594734512914,54.9959653346039,51.8498786795551,42.0524115775433,33.1180588178737,64.4594734512914
2019/9/4,1.353,56.4669541177693,53.3606052328951,48.7508319711603,40.1343987136028,32.0007762998671,56.4669541177693
2019/9/3,1.38,63.7568892843425,53.2484546319638,48.9070201956532,40.2372883722077,31.957726286536,63.7568892843425
2019/8/30,1.429,64.0518254207763,52.843225382686,49.4951378840036,40.0285893292449,31.8084271658048,64.0518254207763
2019/8/29,1.454,64.1476185145871,53.2824572403028,50.779606720774,40.0419678621035,31.7880582013394,64.1476185145871
2019/8/28,1.422,63.2023230558021,52.8956348515661,50.4814716244517,39.8857561095193,31.70544741781,63.2023230558021
2019/8/27,1.443,63.4376175050599,53.0877213341417,50.516068414538,39.8938906412569,31.6931976492873,63.4376175050599
2019/8/26,1.473,63.9299231485439,54.1320350389517,50.5747480175003,39.872801055467,31.7216760150536,63.9299231485439
2019/8/23,1.449,63.3778135575695,53.9268780198612,50.6839980463119,39.8432298417764,31.6753499335357,63.3778135575695
2019/8/22,1.527,62.011788779213,52.9303939507471,50.5479870400079,39.2616486225835,31.2926316253433,62.011788779213
2019/8/21,1.495,61.283894693067,53.3927699589903,50.2849645676661,39.1166445372192,31.2340749899504,61.283894693067
