,"US3MT=RR,Bid Yield, ","US3MT=RR,Volatility,1 个月","US3MT=RR,Volatility,2 个月","US3MT=RR,Volatility,3 个月","US3MT=RR,Volatility,6 个月","US3MT=RR,Volatility,1 年","US3MT=RR,Volatility,23 天数"
2019/10/9,1.7102,26.2969255879144,24.4036564108774,22.1980936834528,19.0960995574435,16.2614563235738,26.2969255879144
2019/10/8,1.7,25.9802197617629,24.3120293376609,22.6495765338258,19.0606038998947,16.2474063660212,25.9802197617629
2019/10/7,1.723,26.0263696215207,24.3196053134474,22.6641713231849,19.0025125867615,16.2026566957949,26.0263696215207
2019/10/4,1.71,25.7470177085569,24.6802095195622,22.7271601963164,18.955707337805,16.1826623422505,25.7470177085569
2019/10/3,1.718,25.8084556542595,25.1605341953393,22.7904199958957,19.1613947034532,16.180734032638,25.8084556542595
2019/10/2,1.808,20.6582471315251,22.3918406966704,20.7343917593551,17.903164273842,15.423422743989,20.6582471315251
2019/10/1,1.826,20.6057338463678,22.3452484507497,22.1556746447962,17.9646482918431,15.3992139517454,20.6057338463678
2019/9/30,1.825,20.567481858657,22.3305209197869,22.3276491580557,17.9603874873014,15.4075878701053,20.567481858657
2019/9/27,1.797,19.6642909189095,21.8474703240657,22.3381120912862,17.8305926610407,15.3283551046941,19.6642909189095
2019/9/26,1.828,19.8334257484218,21.6032285031337,22.1501874831391,17.7541196915999,15.2423227942867,19.8334257484218
2019/9/25,1.895,16.7670215384957,20.0985907214801,21.1390809999152,17.1080977933768,14.870723223331,16.7670215384957
2019/9/24,1.931,16.1244787827017,19.8141769153949,21.0547010910112,16.9476149767034,14.7607949743934,16.1244787827017
2019/9/23,1.905,15.9456342255734,19.4611419666315,20.8440462265492,16.8092856699424,14.7008816621745,15.9456342255734
2019/9/20,1.91,17.7735920010771,19.5336060353656,20.9502098783076,16.8151432533067,14.7005056658283,17.7735920010771
2019/9/19,1.938,18.0856978912405,19.4188368954601,21.157179729031,16.8010242979883,14.6599331048226,18.0856978912405
2019/9/18,1.941,19.0227101547355,19.4188331581602,21.4599979958615,16.8012256532683,14.6733859931418,19.0227101547355
2019/9/17,2,18.9458896354303,19.262615608372,20.9488584474637,16.3287419844902,14.3781703325134,18.9458896354303
2019/9/16,1.999,20.7573106318671,19.5110368223981,20.9969100031923,16.3276375479954,14.4068582162797,20.7573106318671
2019/9/13,1.961,20.1160962651054,18.9520647649642,20.613853446658,16.0646234384281,14.2787540609604,20.1160962651054
2019/9/12,1.956,20.2790656661018,18.9212186360565,20.6652123316057,16.0951721551868,14.3052345824019,20.2790656661018
