,"US30YT=RR,Bid Yield, ","US30YT=RR,Volatility,1 个月","US30YT=RR,Volatility,2 个月","US30YT=RR,Volatility,3 个月","US30YT=RR,Volatility,6 个月","US30YT=RR,Volatility,1 年","US30YT=RR,Volatility,23 天数"
2019/10/9,2.0327,37.1686411262854,40.406234934429,36.7478735950731,29.2633684658164,23.7479295546737,37.1686411262854
2019/10/8,2.042,37.5144013447806,40.6583560903578,36.9312687046178,29.2624354274838,23.748538197965,37.5144013447806
2019/10/7,2.044,40.8171244314494,41.3849172395031,36.9670858705591,29.2614831209843,23.7486535641467,40.8171244314494
2019/10/4,2.014,40.5794855581787,41.2108591003601,36.817474613534,29.261527224288,23.6982222820322,40.5794855581787
2019/10/3,2.038,40.5750059156629,42.1989114661544,37.4025533394055,29.2342945153975,23.7225883406832,40.5750059156629
2019/10/2,2.088,39.6359923323203,42.0941774558219,37.2356148646494,29.3214931239533,23.6996880794235,39.6359923323203
2019/10/1,2.106,39.8830009446504,42.7282169250635,37.362822408247,29.3195942757891,23.6915451789987,39.8830009446504
2019/9/30,2.12,40.189803569962,42.9788884080749,37.4769275512288,29.3140417647144,23.7130111905793,40.189803569962
2019/9/27,2.124,42.2699956780714,42.9968421967357,37.4846862015842,29.3788460297313,23.712979061803,42.2699956780714
2019/9/26,2.128,42.2972110973861,42.9954580254636,37.5787642174679,29.3805824842652,23.716753723731,42.2972110973861
2019/9/25,2.183,43.4506703538773,42.6917346348387,37.4624763806366,29.2083398250557,23.6319877127277,43.4506703538773
2019/9/24,2.095,42.0460207576495,41.3489974267827,36.4453950766878,28.7407902784363,23.2584073283052,42.0460207576495
2019/9/23,2.153,40.9035728659193,41.0057707605635,36.2178582627311,28.5315902529467,23.181100993173,40.9035728659193
2019/9/20,2.198,40.8821031027423,41.0491138325985,36.4542481500933,28.4899539018482,23.1079561589223,40.8821031027423
2019/9/19,2.212,42.760777230226,41.0437596820172,36.4494763336913,28.505321190816,23.1043085590067,42.760777230226
2019/9/18,2.238,42.4293254572249,41.0319270889994,36.4028229970576,28.4752593192184,23.1734042142705,42.4293254572249
2019/9/17,2.28,42.7728045034902,40.8547167549096,36.2841809244071,28.3998993796766,23.1100090177029,42.7728045034902
2019/9/16,2.311,46.549927694916,41.0584313412555,36.2196796921047,28.4234627491098,23.0805711141096,46.549927694916
2019/9/13,2.376,45.2881957976134,40.6776783255858,35.8426355097059,28.2172842322255,22.9310958894562,45.2881957976134
2019/9/12,2.264,46.5908881292109,38.722040407031,34.4357580287887,27.3712941215046,22.4460313452872,46.5908881292109
2019/9/11,2.208,45.8660628005475,38.0718692096678,34.0109277544456,27.1362999593556,22.3129153849354,45.8660628005475
2019/9/10,2.181,46.0297823246374,38.5729852406878,33.8776497159652,27.0599604330955,22.2740453426535,46.0297823246374
2019/9/9,2.098,45.2204811593713,37.4043216612212,33.1299472179476,26.4785025766193,21.9226162933355,45.2204811593713
2019/9/6,2.022,43.0549844539241,36.0677714202293,32.2758898253393,25.8786549872469,21.5974562866814,43.0549844539241
2019/9/5,2.054,44.5655349542345,36.0034047669116,32.1906710299471,25.8212832725373,21.565655311869,44.5655349542345
2019/9/4,1.957,40.4656654885385,34.6590376187078,30.5791745322227,24.7992040716479,21.0393821198255,40.4656654885385
2019/9/3,1.95,40.9859866814844,34.6590921450734,30.9798982993956,24.8822431615716,21.0330669645544,40.9859866814844
2019/8/30,1.973,41.1855619589895,34.7855038575575,31.0009043109423,24.885266173567,21.0139704123488,41.1855619589895
