,"US6MT=RR,Bid Yield, ","US6MT=RR,Volatility,1 个月","US6MT=RR,Volatility,2 个月","US6MT=RR,Volatility,3 个月","US6MT=RR,Volatility,6 个月","US6MT=RR,Volatility,1 年","US6MT=RR,Volatility,23 天数"
2019/10/9,1.6968,26.8273047297749,23.6312917962961,21.9026626017338,19.5616107180281,15.0990750880884,26.8273047297749
2019/10/8,1.694,26.7525540471496,23.8318454778847,22.6303135012193,19.5634334908306,15.0965009239519,26.7525540471496
2019/10/7,1.714,26.8867430848796,24.6163120379725,22.6601167541873,19.5274808527333,15.0626256980509,26.8867430848796
2019/10/4,1.653,23.0687502935645,22.6794209031021,21.2134277260489,18.7459394972599,14.6061589860197,23.0687502935645
2019/10/3,1.671,22.9965785473393,22.700941689107,21.7293762567953,18.7371590241957,14.5836869071529,22.9965785473393
2019/10/2,1.759,16.5850379999724,19.7052290618253,19.477085798053,17.4604088316933,13.7510002060458,16.5850379999724
2019/10/1,1.808,14.2967841644323,19.477343926918,18.8487065987992,17.1066107370666,13.5034227877467,14.2967841644323
2019/9/30,1.826,14.1323631264883,19.4873471875655,18.8090706169813,17.0904694064274,13.4802137259942,14.1323631264883
2019/9/27,1.846,13.7885047853192,19.3920889765213,18.7591980661598,17.0672757692291,13.4539777509815,13.7885047853192
2019/9/26,1.878,13.1120663941734,19.0702890591808,18.519284347064,16.9695669541374,13.3577147224169,13.1120663941734
2019/9/25,1.906,14.169495823365,18.9087862296461,18.3983612123771,16.8761031600927,13.2971238800173,14.169495823365
2019/9/24,1.914,14.2490766149204,18.9762542516202,18.7446525888517,16.8847370676083,13.2958162551558,14.2490766149204
2019/9/23,1.919,14.3216491856479,19.0116855274922,18.7801039076025,16.8906321410101,13.3038147751379,14.3216491856479
2019/9/20,1.916,14.3218278191353,19.0964008088054,18.8100866368807,16.9234501531231,13.3020795488051,14.3218278191353
2019/9/19,1.924,15.6840050746531,19.5932728604521,20.5058630073012,16.9271827704916,13.3216093261955,15.6840050746531
2019/9/18,1.896,15.3169476885379,19.2318772441153,21.0777417816827,16.7624825420429,13.2448580217421,15.3169476885379
2019/9/17,1.93,16.9382513046038,18.9655313038777,20.8469793248471,16.6182506343471,13.1377451131888,16.9382513046038
2019/9/16,1.937,19.0874324442109,19.1223671859437,20.9714512880203,16.6172707984791,13.1353381057591,19.0874324442109
2019/9/13,1.919,19.5013671185802,19.0098200618711,20.8525264147855,16.5398519596727,13.1014514621936,19.5013671185802
2019/9/12,1.898,19.2580762357481,18.8212544751488,20.7333445401549,16.4484694460943,13.0982227330097,19.2580762357481
2019/9/11,1.883,19.0718625560661,18.6568254421345,20.6365401248951,16.391892190762,13.0738620226182,19.0718625560661
2019/9/10,1.893,19.4363595774913,18.7324077245065,20.702834796107,16.387020686736,13.0793025810318,19.4363595774913
2019/9/9,1.872,21.1411998464127,19.8093935203301,20.8213794379647,16.2788414825209,13.0282452019815,21.1411998464127
2019/9/6,1.872,21.3063570258823,19.9345815287042,21.4024809591703,16.2769845817171,13.0282316206792,21.3063570258823
2019/9/5,1.878,21.5280824664474,19.9379918583299,21.4758049050493,16.384804977918,13.0438341320113,21.5280824664474
