,"US1MT=RR,Bid Yield, ","US1MT=RR,Volatility,1 个月","US1MT=RR,Volatility,2 个月","US1MT=RR,Volatility,3 个月","US1MT=RR,Volatility,6 个月","US1MT=RR,Volatility,1 年","US1MT=RR,Volatility,23 天数"
2019/9/9,2.052,21.9483918650394,25.01305681435,26.0229983284105,19.9133319921745,19.4616403873717,21.9483918650394
2019/9/6,2.049,22.3460419218745,25.0070884831929,26.1738080272126,19.910183545051,19.4762403133619,22.3460419218745
2019/9/5,2.041,23.4834713980749,25.0588708660325,26.1537467097594,19.8967255786847,19.4767233816018,23.4834713980749
2019/9/4,2.049,24.721608740094,25.239426387603,26.3186025783224,19.9047370169986,19.4953635638233,24.721608740094
2019/9/3,2.067,27.5868058002294,25.3570369308901,26.2857823647988,20.0117214737158,19.4799874460982,27.5868058002294
2019/8/30,2.093,30.4317370572489,25.5562192552955,26.215793540141,19.9499326643435,19.4440797182811,30.4317370572489
2019/8/29,2.069,31.0359159537718,25.3706579576929,26.0919877588239,19.8707709235976,19.4195590081666,31.0359159537718
2019/8/28,2.064,31.1728907266035,26.9103571552998,26.1070317444313,19.8641799726981,19.443952169419,31.1728907266035
2019/8/27,2.075,31.9329939279668,26.8852292482072,26.0987859463377,19.8613224792065,19.4421285520077,31.9329939279668
2019/8/26,2.1,31.846815372656,26.741195950702,26.0541597277844,19.9656010105737,19.4053775133621,31.846815372656
2019/8/23,2.093,32.1469727653484,26.7416657077682,26.1365642108449,19.9770159500101,19.4270184512896,32.1469727653484
2019/8/22,2.051,31.3715392276635,26.6662335940963,25.7559447833928,19.7496038828528,19.3556539755688,31.3715392276635
2019/8/21,2.052,31.3702863152315,27.6284207872146,25.7599814354338,19.7738307008057,19.3559135835192,31.3702863152315
2019/8/20,2.064,31.5014356419801,28.1151271647092,25.7655849493047,19.7665858106209,19.3492739167529,31.5014356419801
2019/8/19,2.065,31.7649692432388,28.4164639414438,25.7751467906122,19.7717201859714,19.3529122358677,31.7649692432388
2019/8/16,2.059,32.0631865172069,28.5855471714698,25.9875794655061,19.7639353337883,19.5339033900381,32.0631865172069
2019/8/15,1.9936,29.7592260417147,27.3141505428801,25.1800993516235,19.2048172249213,19.3630463540296,29.7592260417147
2019/8/14,1.985,29.8164746267995,27.9976789162782,25.1395936220387,19.193796567637,19.3587427574772,29.8164746267995
2019/8/13,2.059,27.5574075397789,26.6627661550908,24.213308524692,18.7242084060049,19.0237910285246,27.5574075397789
2019/8/12,2.08,27.5277204964687,28.0200967421205,24.1715647446114,18.6830221945126,18.9978835794491,27.5277204964687
2019/8/9,2.077,27.9695018626009,28.2710901821377,24.2092148564234,18.6881381409076,18.9998854881842,27.9695018626009
2019/8/8,2.039,26.9701718073884,27.8104906048337,23.8420462553134,18.4976509590101,18.9325497743694,26.9701718073884
2019/8/7,2.016,26.5326815431594,27.8502832219166,23.6804256626318,18.4141448618112,18.9025993192781,26.5326815431594
2019/8/6,2.044,26.8040371300492,27.7237223980478,23.5796738251749,18.354863981763,18.9154035942855,26.8040371300492
2019/8/5,2.07,27.0228133158446,27.8310241544578,23.4963799116045,18.299574596979,18.9561057909592,27.0228133158446
2019/8/2,2.118,26.7832348484593,27.3839286341227,23.2594303798192,18.0446114146772,18.8502776210968,26.7832348484593
2019/8/1,2.072,25.5568026395312,26.7229260825998,22.7509236192036,17.7575813769985,18.7317781928243,25.5568026395312
2019/7/31,1.995,25.2130574429595,24.7740844044353,21.2529632534747,16.8964331146261,18.3678815661917,25.2130574429595
