,"US2MT=RR,Bid Yield, ","US2MT=RR,Volatility,1 个月","US2MT=RR,Volatility,2 个月","US2MT=RR,Volatility,3 个月","US2MT=RR,Volatility,6 个月","US2MT=RR,Volatility,1 年","US2MT=RR,Volatility,23 天数"
2019/10/9,1.7276,37.2627995754317,30.7842536134282,28.8916492760263,22.7149029997457,,37.2627995754317
2019/10/8,1.723,37.1472371601936,30.7816532678728,29.3466231170716,22.7250107216879,,37.1472371601936
2019/10/7,1.761,36.8198787563374,30.8019489098023,29.1910567847686,22.5644883380839,,36.8198787563374
2019/10/4,1.738,36.2897654922538,30.5299150061259,29.0196516931595,22.4664030325273,,36.2897654922538
2019/10/3,1.705,35.1910651773492,30.1917239019854,28.935288192356,22.2569511415583,,35.1910651773492
2019/10/2,1.743,35.182166019863,30.0665398312124,28.7263046251532,22.0957397647743,,35.182166019863
2019/10/1,1.766,35.2102041764696,30.7303619636817,28.8633616182271,22.114279050087,,35.2102041764696
2019/9/30,1.873,30.285638299465,27.8841098834584,26.5856739852544,20.6435157548624,,30.285638299465
2019/9/27,1.868,30.3484761451747,28.4343899611001,26.6751658518551,20.6368709794338,,30.3484761451747
2019/9/26,1.843,30.024214081269,28.143333448504,26.543119623984,20.6523700117737,,30.024214081269
2019/9/25,1.866,30.2297973374276,28.0719002135892,26.4635348803194,20.607339411484,,30.2297973374276
2019/9/24,1.907,29.6467643028819,27.930811736425,26.1636202120532,20.4376927352643,,29.6467643028819
2019/9/23,1.935,29.4424680387342,27.7892552096596,26.0993487918204,20.3606444081511,,29.4424680387342
2019/9/20,1.95,29.346109355439,27.7599340921681,26.1679576510753,20.3511995809186,,29.346109355439
2019/9/19,1.96,29.3094231152124,27.7630028844367,26.3934661844142,20.3528489587063,,29.3094231152124
2019/9/18,1.932,29.4690068803255,28.6734647679254,26.3103813038558,20.2271671274221,,29.4690068803255
2019/9/17,2.075,18.9884085458257,23.3809197081845,22.3170603211704,17.7424845645308,,18.9884085458257
2019/9/16,2.024,21.5345426243778,22.7323325569825,21.7095501151881,17.3563883640215,,21.5345426243778
2019/9/13,1.971,19.4148217051336,21.7662176243068,21.0885419077648,16.9028378013695,,19.4148217051336
2019/9/12,1.963,19.3160577535552,21.72744404413,21.085770376976,16.8837927226,,19.3160577535552
2019/9/11,1.981,19.7589870544179,22.4071953485659,21.8120482689607,16.853164109496,,19.7589870544179
2019/9/10,1.996,19.6690161651793,22.5572693252291,21.9521474473537,16.8712686749378,,19.6690161651793
2019/9/9,2.001,20.9294841232256,23.5833811259622,21.9533323124682,16.8708822006376,,20.9294841232256
2019/9/6,1.999,20.9176404977901,23.6565116888923,22.0888252375244,16.868781576664,,20.9176404977901
2019/9/5,2.019,21.5816108993493,23.6102282916449,22.2512499120553,16.829201127753,,21.5816108993493
2019/9/4,2.022,21.8671567641755,24.0340186640108,22.2688611927657,16.8305452375445,,21.8671567641755
2019/9/3,2.022,23.4136046920858,24.0507236015176,22.2638371147046,16.9394873437121,,23.4136046920858
2019/8/30,2.032,24.3568956749878,24.3300373838038,22.2823493763544,16.9365170074662,,24.3568956749878
2019/8/29,2.016,25.4813285496737,24.2232900815422,22.2311191242076,16.8858117123714,,25.4813285496737
2019/8/28,2.045,25.1833941242242,24.1651209053206,22.141685359473,16.7913982878441,,25.1833941242242
2019/8/27,2.037,25.1368753314713,24.1976296833018,22.1083797544405,16.7817372092506,,25.1368753314713
2019/8/26,2.027,25.4638363539579,24.1541229018408,22.0738208230314,16.8172284797551,,25.4638363539579
2019/8/23,2.012,25.2580307479877,24.0617736564427,22.2048309740811,16.782339504322,,25.2580307479877
2019/8/22,1.991,24.8239756009571,23.9870498751606,22.074888018505,16.7022185370152,,24.8239756009571
2019/8/21,1.978,24.6300238092378,24.0680179967009,22.0099907022704,16.6650183409171,,24.6300238092378
2019/8/20,1.963,27.0524765153385,24.3135935307899,21.9087470195798,16.6545123883345,,27.0524765153385
2019/8/19,1.96,27.5522850958726,24.4610246034835,21.8983011571564,16.6487097506835,,27.5522850958726
2019/8/16,1.955,27.6837349254477,24.4452756585769,21.9357653576824,16.6383034593483,,27.6837349254477
2019/8/15,1.922,26.7564224120483,23.979599533963,21.5911859921903,16.4315837464416,,26.7564224120483
2019/8/14,1.976,25.7275680400357,23.3890311006582,21.0341638291014,16.0349080573533,,25.7275680400357
2019/8/13,2.052,24.3520260446045,21.7304517667945,19.8469599811061,15.3337753735817,,24.3520260446045
2019/8/12,2.063,24.6552110230025,22.8334958787049,19.8416298310339,15.3319625398897,,24.6552110230025
2019/8/9,2.063,26.3330174209545,23.0549040863955,19.8694340600137,15.3418566680834,,26.3330174209545
2019/8/8,2.037,25.9433542074414,22.7402131711862,19.632173691352,15.219608829877,,25.9433542074414
2019/8/7,2.032,25.9376208448399,22.9354623395304,19.6120796667174,15.2208099743481,,25.9376208448399
2019/8/6,2.078,25.938152802617,22.7231238318866,19.2108350884983,15.0443934544368,,25.938152802617
2019/8/5,2.078,25.9713025911779,22.7341496894481,19.2060222078581,15.0467920343733,,25.9713025911779
2019/8/2,2.119,25.7519122175061,22.356287363646,19.0015265095886,14.8282780884146,,25.7519122175061
2019/8/1,2.101,25.5594626250692,22.2205367413616,18.9553671153353,14.7738427607476,,25.5594626250692
2019/7/31,2.052,24.4139781874848,21.322424593447,18.3967462968894,14.3626761204883,,24.4139781874848
2019/7/30,2.096,23.573440298641,20.9252895828838,18.0154504307166,14.5128094418522,,23.573440298641
2019/7/29,2.152,21.8208267324945,20.0885998923023,17.4761624466776,14.1687013648381,,21.8208267324945
2019/7/26,2.152,21.8300450539163,20.1061055018313,17.4832330728847,14.1995667473309,,21.8300450539163
2019/7/25,2.167,22.0146676619049,20.4134453760062,17.4636436324356,14.1739484593053,,22.0146676619049
2019/7/24,2.142,21.9176280954478,20.1830420844099,17.2682393327928,14.1151590599692,,21.9176280954478
2019/7/23,2.155,22.755454821472,20.1914998712019,17.2490270302045,14.1498919960119,,22.755454821472
2019/7/22,2.162,23.2013112501746,20.1902260202362,17.2943718218949,14.1761940306827,,23.2013112501746
2019/7/19,2.16,23.2769393228646,20.1967566672689,17.2858813486313,14.1748516627474,,23.2769393228646
2019/7/18,2.093,20.4194407572648,18.4794547736095,15.9463544221498,13.4203914472741,,20.4194407572648
2019/7/17,2.134,19.8976476873733,18.1077583429708,15.6020648764753,13.2246626130574,,19.8976476873733
2019/7/16,2.165,19.4871607680435,17.8792653977424,15.4010274200255,13.103013085561,,19.4871607680435
2019/7/15,2.191,21.6052245163223,17.7299089946735,15.3143902462351,13.0099328696514,,21.6052245163223
2019/7/12,2.188,22.0671223524982,17.7111381817775,15.3290358265802,13.0125587634843,,22.0671223524982
2019/7/11,2.142,20.4966976904162,16.778623687486,14.6501802199918,12.637343958497,,20.4966976904162
2019/7/10,2.172,20.6551672456787,16.554784975768,14.4514395572857,12.8540343575465,,20.6551672456787
2019/7/9,2.239,19.0520151321044,15.0646674208451,13.2612526004496,12.2221469406225,,19.0520151321044
2019/7/8,2.226,18.9286070395678,14.9421443817864,13.2360758379962,12.6792567142605,,18.9286070395678
2019/7/5,2.221,18.8609764408391,14.9051296374374,13.2166918180396,12.6733167055223,,18.8609764408391
2019/7/3,2.185,17.7409870918529,14.4042227121689,12.7471090546391,12.9293899751512,,17.7409870918529
2019/7/2,2.18,17.8475594334019,14.5115177657705,12.7242390559845,12.9650210357124,,17.8475594334019
2019/7/1,2.15,17.0404134961328,14.2578663528513,12.3629035430476,12.7997415913735,,17.0404134961328
2019/6/28,2.155,17.0324530465929,14.2572045512705,12.5844781409413,12.7983145887188,,17.0324530465929
2019/6/27,2.134,16.3611329651778,14.1766307829111,12.3848207988297,12.7292641658044,,16.3611329651778
2019/6/26,2.121,17.0423412525425,14.0368673931104,12.2901208556246,12.8131999791579,,17.0423412525425
2019/6/25,2.124,17.0427306668614,14.0708830141304,12.7269187494433,12.8199348129353,,17.0427306668614
2019/6/24,2.127,17.0179020556835,14.0754589596313,12.7412359587808,12.8229013843475,,17.0179020556835
2019/6/21,2.15,16.9168744355327,13.9506145531214,12.6809897657617,12.781685484554,,16.9168744355327
2019/6/20,2.129,16.1783711281597,13.7166567481672,12.4510382354883,12.9789230054445,,16.1783711281597
2019/6/19,2.17,15.8018093713435,13.1310729063794,12.0103198458241,12.7316628477472,,15.8018093713435
2019/6/18,2.201,15.5383606758101,12.8638409580342,11.7796363012433,12.6000062685086,,15.5383606758101
2019/6/17,2.216,15.5079626889243,12.8748811374282,11.7396725429443,12.6925538557775,,15.5079626889243
2019/6/14,2.211,15.3943951474152,12.8308579633905,11.86245255776,12.767489938784,,15.3943951474152
2019/6/13,2.19,14.670410509741,12.6110929818454,11.6510340754945,12.7081227115375,,14.670410509741
2019/6/12,2.206,14.860560449788,12.6117139485057,11.59686056533,12.9927426418411,,14.860560449788
2019/6/11,2.275,11.6344395935381,10.4765283863787,9.99705686459584,12.3661954014773,,11.6344395935381
2019/6/10,2.311,10.7828072705999,9.87382408946193,9.56020621578134,12.1710454043422,,10.7828072705999
2019/6/7,2.319,10.7741016927913,9.8749697031672,9.6598218918112,12.1668200482274,,10.7741016927913
2019/6/6,2.295,9.87319840731309,9.5621663030635,9.3961743027397,12.1239683028901,,9.87319840731309
2019/6/5,2.336,8.988811151286,8.64715694189542,8.78391314569372,12.0445948062512,,8.988811151286
2019/6/4,2.352,9.14506849411127,8.54580343800613,8.71328726288132,12.0213483464149,,9.14506849411127
2019/6/3,2.357,10.2356399473263,8.54991982160791,8.70942624243788,12.0214416491724,,10.2356399473263
2019/5/31,2.375,10.0391025869142,8.48654728479013,8.96447778020285,11.9740987678252,,10.0391025869142
2019/5/30,2.364,10.346086855172,8.7719247074257,8.93818779889489,12.2738805663782,,10.346086855172
2019/5/29,2.354,10.2128238647236,8.76907569966148,8.89250543460136,12.284842659765,,10.2128238647236
2019/5/28,2.362,10.2196545833411,8.75135574367986,8.89099038973915,12.2748346717582,,10.2196545833411
2019/5/24,2.377,10.1673318736731,9.70597324375526,8.82908251230341,12.2815833526699,,10.1673318736731
2019/5/23,2.346,8.9029618884997,9.07450197642383,8.59444555090264,12.1619266605435,,8.9029618884997
2019/5/22,2.364,8.88701514175515,9.00478913839834,8.49844447180987,12.3625136746832,,8.88701514175515
2019/5/21,2.38,8.69173786957645,8.89773965583089,8.43526377118606,12.3236437123809,,8.69173786957645
2019/5/20,2.385,8.74079985960659,8.91864604562012,8.44870733497551,12.3193614324413,,8.74079985960659
2019/5/17,2.4,8.61254523923118,8.83582313425826,8.47212878430414,12.2841275222008,,8.61254523923118
2019/5/16,2.387,8.40124352161678,8.71233772919839,8.40586093460861,12.314671726045,,8.40124352161678
2019/5/15,2.41,7.9987337060572,8.65926488798151,8.19502406903271,12.2395031427024,,7.9987337060572
2019/5/14,2.418,7.98416904780631,8.62993487228152,8.20901931167703,12.2305112749446,,7.98416904780631
2019/5/13,2.421,8.24315872957065,8.63785554363293,8.22722062230532,12.2303655357103,,8.24315872957065
2019/5/10,2.431,8.16915713527031,8.60216642189089,8.57322942277722,12.2309373616072,,8.16915713527031
2019/5/9,2.423,8.1005091904235,8.55868370746634,8.61137817124025,13.1514344044359,,8.1005091904235
2019/5/8,2.431,8.16586117379077,8.68114656725338,8.60214089010439,13.1538867942498,,8.16586117379077
2019/5/7,2.431,8.17957345539297,8.69465012587909,8.63005261532993,13.1751685070965,,8.17957345539297
2019/5/6,2.436,8.16644349159605,8.71607621836356,8.68851837119376,13.2866999252068,,8.16644349159605
2019/5/3,2.439,8.20397703873253,8.74536187515486,9.00191449079807,13.2848809143312,,8.20397703873253
2019/5/2,2.42,8.03390850308834,8.51855901095363,8.89958958802246,13.2557957471633,,8.03390850308834
2019/5/1,2.405,8.45787266362434,8.9166913934066,8.85236602460227,13.2393647200209,,8.45787266362434
2019/4/30,2.441,7.03520089107979,8.20904147560459,8.34301834497417,13.0581273884306,,7.03520089107979
